date,time,sport,event,gender,country_code,athlete_name,position
02/07/2026,4:30,Alpine Skiing,Men's Downhill,Men,SUI,von ALLMEN F,1
02/07/2026,4:30,Alpine Skiing,Men's Downhill,Men,ITA,FRANZONI G,2
02/07/2026,4:30,Alpine Skiing,Men's Downhill,Men,ITA,PARIS D,3
02/07/2026,6:00,Cross-Country Skiing,Women's 10km + 10km Skiathlon,Women,SWE,KARLSSON F,1
02/07/2026,6:00,Cross-Country Skiing,Women's 10km + 10km Skiathlon,Women,SWE,ANDERSSON E,2
02/07/2026,6:00,Cross-Country Skiing,Women's 10km + 10km Skiathlon,Women,SWE,WENG H,3
02/07/2026,9:00,Speed Skating,Women's 300m,Women,ITA,LOLLOBRIGIDA F,1
02/07/2026,9:00,Speed Skating,Women's 300m,Women,NOR,WIKLUND R,2
02/07/2026,9:00,Speed Skating,Women's 300m,Women,CAN,MALTAIS V,3
02/07/2026,12:57,Ski Jumping,Women's NH Individual,Women,NOR,STROEM AO,1
02/07/2026,12:57,Ski Jumping,Women's NH Individual,Women,SLO,PREVC N,2
02/07/2026,12:57,Ski Jumping,Women's NH Individual,Women,JPN,MARUYAMA N,3
02/07/2026,12:30,Snowboard,Men's Snowboarding Big Air,Men,JPN,KIMURA K,1
02/07/2026,12:30,Snowboard,Men's Snowboarding Big Air,Men,JPN,KIMATA R,2
02/07/2026,12:30,Snowboard,Men's Snowboarding Big Air,Men,CHN,SU Y,3
02/08/2026,4:30,Alpine Skiing,Women's Downhill,Women,USA,JOHNSON B,1
02/08/2026,4:30,Alpine Skiing,Women's Downhill,Women,GER,AICHER E,2
02/08/2026,4:30,Alpine Skiing,Women's Downhill,Women,ITA,GOGGIA S,3
02/08/2026,5:30,Cross-Country Skiing,Men's 10km + 10km Skiathion,Men,NOR,KLAEBO JH,1
02/08/2026,5:30,Cross-Country Skiing,Men's 10km + 10km Skiathion,Men,FRA,DESLOGES M,2
02/08/2026,5:30,Cross-Country Skiing,Men's 10km + 10km Skiathion,Men,NOR,NYENGET ML,3
02/08/2026,7:26,Snowboard,Women's Parallel Giant Slalom,Women,ITA,DALMASSO L,3
02/08/2026,7:29,Snowboard,Women's Parallel Giant Slalom,Women,CZE,MADEROVA Z,1
02/08/2026,7:29,Snowboard,Women's Parallel Giant Slalom,Women,AUT,PAYER S,2
02/08/2026,7:36,Snowboard,Men's Parallel Giant Slalom,Men,BUL,ZAMFIROV T,3
02/08/2026,7:39,Snowboard,Men's Parallel Giant Slalom,Men,AUT,KARL B,1
02/08/2026,7:39,Snowboard,Men's Parallel Giant Slalom,Men,KOR,KIM S,2
02/08/2026,9:00,Speed Skating,Men's 5000m,Men,NOR,EITREM S,1
02/08/2026,9:00,Speed Skating,Men's 5000m,Men,CZE,JILEK M,2
02/08/2026,9:00,Speed Skating,Men's 5000m,Men,ITA,LORELLO R,3
02/08/2026,11:34,Luge,Men's Singles Run 4,Men,GER,LANGENHAN M,1
02/08/2026,11:34,Luge,Men's Singles Run 4,Men,AUT,MUELLER J,2
02/08/2026,11:34,Luge,Men's Singles Run 4,Men,ITA,FISCHNALLER D,3
02/09/2026,6:28,Freestyle Skiing,Women's Freeski Slopestyle Final Run 3,Women,SUI,GREMAUD M,1
02/09/2026,6:28,Freestyle Skiing,Women's Freeski Slopestyle Final Run 3,Women,CHN,GU Ailing E,2
